automated_name	n_proteins	detected_in_input	detected_in_phospho	detected_in_input_norm_phospho
c100083-g1 1-to-1 MADD MAP kinase activating death domain	1	FALSE	TRUE	FALSE
c100085-g1 1-to-1 MCM3 minichromosome maintenance complex component 3	2	TRUE	TRUE	TRUE
c100088-g1 2-to-1	2	TRUE	TRUE	TRUE
c100089-g1 1-to-1 PRPF19 pre-mRNA processing factor 19	1	TRUE	TRUE	TRUE
c100091-g1 1-to-1 WDR43 WD repeat domain 43	2	TRUE	FALSE	FALSE
c100092-g2 1-to-1 TEX2 testis expressed 2	4	TRUE	TRUE	FALSE
c100093-g1 1-to-1 HAL histidine ammonia-lyase	2	TRUE	FALSE	FALSE
c100094-g1 1-to-1 ZFYVE1 zinc finger FYVE-type containing 1	2	TRUE	TRUE	FALSE
c100096-g1 1-to-1 SCCPDH saccharopine dehydrogenase (putative)	1	TRUE	TRUE	TRUE
c100098-g1 EHBP1 (EH domain binding protein) - emapper OG	3	TRUE	TRUE	FALSE
c100099-g1 1-to-1 TFG TRK-fused gene	1	TRUE	TRUE	TRUE
c100100-g1 3-to-2 KLHDC2,KLHDC1 kelch domain containing 2	1	TRUE	FALSE	FALSE
c100101-g1	1	FALSE	TRUE	FALSE
c100102-g2 1-to-2 GLIS1,GLIS3 GLIS family zinc finger 1	1	FALSE	TRUE	FALSE
c100103-g2 1-to-1 EBP emopamil binding protein (sterol isomerase)	1	TRUE	FALSE	FALSE
c100103-g3 ASH2L (ash2 (absent, small, or homeotic)-like (Drosophila)) - emapper OG	1	TRUE	FALSE	FALSE
c100104-g1	1	TRUE	FALSE	FALSE
c100105-g1 1-to-1 DYNC2H1 dynein cytoplasmic 2 heavy chain 1	1	TRUE	FALSE	FALSE
c100106-g1 1-to-1 HTT huntingtin	5	TRUE	TRUE	TRUE
c100107-g1 PRR5 (proline rich 5) - blastp	1	TRUE	FALSE	FALSE
c100108-g1 (GTP-binding protein) - emapper OG	1	TRUE	TRUE	TRUE
c100109-g1 1-to-1 RAPGEF1 Rap guanine nucleotide exchange factor 1	2	TRUE	TRUE	TRUE
c100110-g1 1-to-1 KAZN kazrin, periplakin interacting protein	3	TRUE	TRUE	TRUE
c100112-g1 1-to-1 PPP1R16B protein phosphatase 1 regulatory subunit 16B	2	TRUE	TRUE	TRUE
c100113-g1 1-to-1 INIP INTS3 and NABP interacting protein	1	FALSE	TRUE	FALSE
c100114-g1 GLA (N-acetylgalactosaminidase, alpha) - emapper OG	1	TRUE	FALSE	FALSE
c100115-g1 (Gamma-glutamyl hydrolase) - emapper OG	1	TRUE	FALSE	FALSE
c100116-g1 USP4 (ubiquitin specific peptidase) - emapper OG	1	FALSE	TRUE	FALSE
c100117-g1 1-to-4 EPN3,ENTHD1,EPN2,EPN1 epsin 3	1	TRUE	TRUE	TRUE
c100118-g1 (Phytochelatin synthase) - emapper OG	1	TRUE	FALSE	FALSE
c100123-g1 2-to-7 CYP24A1,CYP27B1,CYP27A1,CYP11A1... cytochrome P450 family 24 subfamily A member 1	1	TRUE	FALSE	FALSE
c100126-g1 DCP1 (Dcp1-like decapping family) - emapper OG	1	TRUE	TRUE	TRUE
c100127-g1 1-to-1 RPAP3 RNA polymerase II associated protein 3	1	TRUE	TRUE	TRUE
c100128-g1 1-to-1 HDAC8 histone deacetylase 8	1	FALSE	TRUE	FALSE
c100129-g1 1-to-3 DLC1,STARD13,STARD8 DLC1 Rho GTPase activating protein	2	FALSE	TRUE	FALSE
c100130-g1 (Phosphotransferase enzyme family) - emapper OG	1	TRUE	FALSE	FALSE
c100134-g1 (Inherit from COG: esterase) - emapper OG	1	TRUE	TRUE	TRUE
c100135-g2 1-to-2 DYRK1A,DYRK1B dual specificity tyrosine phosphorylation regulated kinase 1A	1	TRUE	TRUE	TRUE
c100136-g1 1-to-1 FGFR1OP FGFR1 oncogene partner	1	TRUE	TRUE	TRUE
c100137-g1 1-to-1 WAPL WAPL cohesin release factor	1	TRUE	TRUE	TRUE
c100139-g1	2	TRUE	TRUE	TRUE
c100140-g2 1-to-1 RFC1 replication factor C subunit 1	2	TRUE	TRUE	TRUE
c100141-g1	1	TRUE	FALSE	FALSE
c100142-g1 1-to-1 ZNF622 zinc finger protein 622	1	TRUE	TRUE	TRUE
c100143-g1 1-to-1 DCAF7 DDB1 and CUL4 associated factor 7	1	TRUE	FALSE	FALSE
c100144-g1	2	TRUE	FALSE	FALSE
c100145-g1 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	3	TRUE	FALSE	FALSE
c100145-g3 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	1	TRUE	FALSE	FALSE
c100145-g4 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	1	TRUE	TRUE	TRUE
c100146-g1 1-to-1 MRPS9 mitochondrial ribosomal protein S9	1	TRUE	FALSE	FALSE
c100148-g1 1-to-1 ADCK5 aarF domain containing kinase 5	2	TRUE	FALSE	FALSE
c100151-g1 1-to-1 SLC25A1 solute carrier family 25 member 1	1	TRUE	FALSE	FALSE
c100152-g1 1-to-2 ERO1B,ERO1A endoplasmic reticulum oxidoreductase 1 beta	1	TRUE	FALSE	FALSE
c100153-g1 MESDC1 (Mesoderm development candidate 1) - emapper OG	2	TRUE	TRUE	TRUE
c100154-g1 1-to-2 DCUN1D1,DCUN1D2 defective in cullin neddylation 1 domain containing 1	1	TRUE	FALSE	FALSE
c100155-g1 1-to-1 KANSL2 KAT8 regulatory NSL complex subunit 2	1	FALSE	TRUE	FALSE
c100156-g1 1-to-2 AK5,AK1 adenylate kinase 5	1	TRUE	FALSE	FALSE
c100156-g2 1-to-1 AK5 adenylate kinase 5	1	FALSE	TRUE	FALSE
c100157-g1 1-to-1 ARL2BP ADP ribosylation factor like GTPase 2 binding protein	1	TRUE	TRUE	TRUE
c100158-g1 1-to-1 NSDHL NAD(P) dependent steroid dehydrogenase-like	1	TRUE	FALSE	FALSE
c100159-g1 COPS8 (COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)) - emapper OG	1	TRUE	FALSE	FALSE
c100160-g1 1-to-1 ABHD10 abhydrolase domain containing 10	1	TRUE	FALSE	FALSE
c100161-g1 FYV8, Saccharomyces cerevisiae (strain ATCC 204508..	1	TRUE	TRUE	TRUE
c100162-g1 1-to-1 NUDT19 nudix hydrolase 19	1	TRUE	TRUE	TRUE
c100164-g1	1	TRUE	FALSE	FALSE
c100164-g2 1-to-1 TDRD9 tudor domain containing 9	2	TRUE	FALSE	FALSE
c100165-g1 1-to-1 SF3A1 splicing factor 3a subunit 1	2	TRUE	FALSE	FALSE
c100166-g1 1-to-1 DYNC2H1 dynein cytoplasmic 2 heavy chain 1	1	FALSE	TRUE	FALSE
c100167-g1 hs-ZG16,ZG16B	1	TRUE	FALSE	FALSE
c100168-g1 hs-EDARADD	1	TRUE	FALSE	FALSE
c100169-g1 GAR1 (GAR1 ribonucleoprotein homolog (yeast)) - emapper OG	1	TRUE	FALSE	FALSE
c100170-g2 IFT43, Bos taurus	1	TRUE	TRUE	TRUE
c100172-g1 1-to-1 DDX1 DEAD-box helicase 1	2	TRUE	TRUE	FALSE
c100173-g1 1-to-1 NDUFA12 NADH:ubiquinone oxidoreductase subunit A12	1	TRUE	FALSE	FALSE
c100174-g1 MRPL46 (mitochondrial ribosomal protein, L46) - emapper OG	1	TRUE	FALSE	FALSE
c100177-g1 1-to-1 POLR3F RNA polymerase III subunit F	1	TRUE	TRUE	TRUE
c100178-g1 1-to-1 FEN1 flap structure-specific endonuclease 1	1	TRUE	TRUE	TRUE
c100179-g1 GBF1 (Golgi brefeldin A resistant guanine nucleotide exchange factor 1) - emapper OG	5	TRUE	TRUE	TRUE
c100180-g1 WFS1 (Wolfram syndrome 1 (wolframin)) - emapper OG	1	TRUE	FALSE	FALSE
c100181-g1 1-to-1 PDAP1 PDGFA associated protein 1	2	TRUE	TRUE	FALSE
c100181-g2 ATAD5 (ATPase family, AAA domain containing 5) - emapper OG	2	FALSE	TRUE	FALSE
c100183-g1 hs-UBL4B	1	TRUE	TRUE	TRUE
c100185-g1 1-to-1 CARM1 coactivator associated arginine methyltransferase 1	1	TRUE	FALSE	FALSE
c100187-g1 1-to-1 NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2	1	TRUE	FALSE	FALSE
c100191-g1 1-to-1 ADI1 acireductone dioxygenase 1	2	TRUE	TRUE	FALSE
c100194-g1 (Inherit from KOG: Dehydrogenase) - emapper OG	1	TRUE	FALSE	FALSE
c100195-g2 hs-TNFRSF1A,EDAR,TNFRSF19,TNFRSF25,FAS,C1orf159,TNFRS..	1	FALSE	TRUE	FALSE
c100196-g1 1-to-2 KPNA3,KPNA4 karyopherin subunit alpha 3	1	TRUE	FALSE	FALSE
c100197-g1 1-to-1 KLHDC3 kelch domain containing 3	1	TRUE	FALSE	FALSE
c100199-g1 1-to-1 ATXN7L3 ataxin 7 like 3	1	FALSE	TRUE	FALSE
c100201-g1 1-to-1 PDHX pyruvate dehydrogenase complex component X	1	TRUE	FALSE	FALSE
c100202-g1 1-to-1 PPP1R7 protein phosphatase 1 regulatory subunit 7	1	TRUE	FALSE	FALSE
c100203-g1 UBB (ubiquitin B) - emapper OG	1	TRUE	TRUE	TRUE
c100204-g1 (member RAS oncogene family) - emapper OG	1	TRUE	FALSE	FALSE
c100205-g1 SPATA5 (spermatogenesis associated 5) - blastp	2	TRUE	TRUE	FALSE
c100205-g3 (selenophosphate synthetase) - emapper OG	1	TRUE	FALSE	FALSE
c100206-g2 1-to-3 PSME2,PSME3,PSME1 proteasome activator subunit 2	1	TRUE	TRUE	TRUE
c100207-g1	1	TRUE	FALSE	FALSE
c100211-g1 ABCB6 (ATP-binding cassette, subfamily B (MDR TAP), member) - emapper OG	3	TRUE	TRUE	FALSE
c100212-g2 2-to-2 CALR3,CALR calreticulin 3	1	TRUE	TRUE	TRUE
c100214-g1 CFLAR (apoptosis-related cysteine peptidase) - emapper OG	1	TRUE	FALSE	FALSE
c100215-g1 3-to-2 SLC37A2,SLC37A1 solute carrier family 37 member 2	1	FALSE	TRUE	FALSE
c100216-g1 1-to-1 KIAA1143 KIAA1143	1	TRUE	TRUE	TRUE
c100217-g1 D12Des, Tribolium castaneum	1	TRUE	FALSE	FALSE
c100219-g1 EHBP1L1 (EH domain binding protein 1 like 1) - blastp	3	TRUE	TRUE	TRUE
c100219-g2 ACTN4 (nucleoredoxin-like) - emapper OG	2	TRUE	TRUE	TRUE
c100221-g1 1-to-1 POU1F1 POU class 1 homeobox 1	1	TRUE	TRUE	TRUE
c100223-g1 1-to-1 CKAP5 cytoskeleton associated protein 5	2	TRUE	TRUE	TRUE
c100224-g2 1-to-1 HSPBP1 HSPA (Hsp70) binding protein 1	2	TRUE	TRUE	FALSE
c100226-g1 MYCN (v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)) - emapper OG	1	FALSE	TRUE	FALSE
c100227-g1 CPUR_05425, Claviceps purpurea (strain 20.1)	1	TRUE	FALSE	FALSE
c100231-g1 1-to-1 FAF2 Fas associated factor family member 2	2	TRUE	TRUE	TRUE
c100235-g1 1-to-1 EIF2AK4 eukaryotic translation initiation factor 2 alpha kinase 4	2	TRUE	TRUE	TRUE
c100236-g1 (Rna-binding protein) - emapper OG	1	TRUE	TRUE	TRUE
c100238-g1 1-to-1 MPND MPN domain containing	1	FALSE	TRUE	FALSE
c100240-g3 (Leucine-rich repeat kinase) - emapper OG	4	TRUE	TRUE	TRUE
c100241-g1 CSP, Plasmodium falciparum (isolate le5)	1	FALSE	TRUE	FALSE
c100241-g2 1-to-2 FRMD1,FRMD6 FERM domain containing 1	1	FALSE	TRUE	FALSE
c100242-g1 1-to-1 UTP18 UTP18, small subunit processome component	1	TRUE	FALSE	FALSE
c100244-g1 7-to-6 ALOX12,ALOXE3,ALOX12B,ALOX5... arachidonate 12-lipoxygenase, 12S type	1	TRUE	FALSE	FALSE
c100244-g2 5-to-6 ALOX12,ALOXE3,ALOX12B,ALOX5... arachidonate 12-lipoxygenase, 12S type	1	TRUE	FALSE	FALSE
c100245-g1 (Inherit from NOG: ectoine hydroxylase) - emapper OG	2	TRUE	FALSE	FALSE
c100247-g1 ANKRD27 (ankyrin repeat domain 27) - blastp	1	TRUE	TRUE	TRUE
c100248-g1	1	TRUE	FALSE	FALSE
c100251-g1 1-to-1 C10orf76 chromosome 10 open reading frame 76	2	TRUE	TRUE	TRUE
c100252-g1 1-to-1 FBXW7 F-box and WD repeat domain containing 7	2	TRUE	TRUE	TRUE
c100253-g2 1-to-1 ADGRV1 adhesion G protein-coupled receptor V1	1	FALSE	TRUE	FALSE
c100256-g1 UNC119 (unc-119 homolog) - emapper OG	1	TRUE	TRUE	TRUE
c100257-g2 1-to-1 PHB2 prohibitin 2	1	TRUE	TRUE	TRUE
c100260-g2 VWA5B1 (von Willebrand factor A domain containing) - emapper OG	1	TRUE	FALSE	FALSE
c100261-g2 1-to-1 PLEKHM3 pleckstrin homology domain containing M3	1	TRUE	FALSE	FALSE
c100263-g1 1-to-1 PCTP phosphatidylcholine transfer protein	1	TRUE	FALSE	FALSE
c100265-g1 1-to-1 POLR1E RNA polymerase I subunit E	1	FALSE	TRUE	FALSE
c100267-g1 hs-TEX9,BCAS2,CCDC160	1	TRUE	TRUE	TRUE
c100268-g2 1-to-1 TNIP1 TNFAIP3 interacting protein 1	1	FALSE	TRUE	FALSE
c100269-g2 1-to-1 PAN3 PAN3 poly(A) specific ribonuclease subunit	1	TRUE	TRUE	TRUE
c100270-g2 RNF213 (Ring finger protein 213) - emapper OG	1	TRUE	TRUE	TRUE
c100271-g1 (Protein of unknown function, DUF288) - emapper OG	1	TRUE	FALSE	FALSE
c100276-g1 (member RAS oncogene family) - emapper OG	1	TRUE	FALSE	FALSE
c100277-g1 (ubiquitin) - emapper OG	2	TRUE	FALSE	FALSE
c100278-g2 1-to-1 EMG1 EMG1, N1-specific pseudouridine methyltransferase	1	TRUE	FALSE	FALSE
c100279-g1 1-to-1 LONP2 lon peptidase 2, peroxisomal	2	TRUE	TRUE	TRUE
c100280-g1 SNAP25 (Synaptosomal-associated protein) - emapper OG	2	TRUE	TRUE	FALSE
c100281-g1 1-to-1 CENPE centromere protein E	3	TRUE	TRUE	TRUE
c100281-g2	1	TRUE	FALSE	FALSE
c100282-g1 7-to-1 CLCN6 chloride voltage-gated channel 6	1	FALSE	TRUE	FALSE
c100285-g1 (member RAS oncogene family) - emapper OG	1	TRUE	TRUE	TRUE
c100286-g1 1-to-1 MRPL44 mitochondrial ribosomal protein L44	1	TRUE	FALSE	FALSE
c100287-g1 6-to-5 GSTM2,GSTM5,GSTM3,GSTM1... glutathione S-transferase mu 2	1	TRUE	FALSE	FALSE
c100288-g1 1-to-1 TBCK TBC1 domain containing kinase	2	TRUE	TRUE	TRUE
c100289-g1 FG06297.1 (phosphatase) - emapper OG	1	TRUE	FALSE	FALSE
c100290-g1 1-to-1 KIAA1109 KIAA1109	6	TRUE	TRUE	TRUE
c100293-g1 1-to-2 TMEM55A,TMEM55B transmembrane protein 55A	1	TRUE	FALSE	FALSE
c100294-g1 1-to-1 UBA5 ubiquitin like modifier activating enzyme 5	1	TRUE	FALSE	FALSE
c100295-g1 1-to-2 MLXIP,MLXIPL MLX interacting protein	1	TRUE	TRUE	TRUE
c100296-g1 CAD (Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase) - emapper OG	1	TRUE	FALSE	FALSE
c100296-g2 2-to-1 CAD carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	1	TRUE	TRUE	TRUE
c100297-g1 2-to-1 LAMTOR1 late endosomal/lysosomal adaptor, MAPK and MTOR activator 1	1	TRUE	TRUE	TRUE
c100298-g2 MOB3A (MOB kinase activator 3A) - emapper OG	1	TRUE	TRUE	TRUE
c100300-g1 1-to-1 ETFDH electron transfer flavoprotein dehydrogenase	1	TRUE	FALSE	FALSE
c100301-g1 1-to-1 MTAP methylthioadenosine phosphorylase	1	TRUE	FALSE	FALSE
c100305-g1 GAB4 (GRB2 associated binding protein family member 4) - blastp	1	TRUE	TRUE	TRUE
c100308-g2 SSB (Sjogren syndrome antigen B (autoantigen La)) - emapper OG	1	TRUE	TRUE	TRUE
c100309-g1	1	TRUE	FALSE	FALSE
c100310-g1 1-to-1 CCDC134 coiled-coil domain containing 134	1	TRUE	FALSE	FALSE
c100311-g1 1-to-1 RABL3 RAB, member of RAS oncogene family like 3	1	TRUE	FALSE	FALSE
c100312-g1 MITD1 (MIT, microtubule interacting and transport, domain containing 1) - emapper OG	1	TRUE	FALSE	FALSE
c100313-g1 MRTO4 (mRNA turnover 4 homolog (S. cerevisiae)) - emapper OG	1	TRUE	TRUE	TRUE
c100316-g1 1-to-1 OSBPL9 oxysterol binding protein like 9	1	TRUE	TRUE	TRUE
c100317-g1 1-to-1 TTC37 tetratricopeptide repeat domain 37	1	TRUE	FALSE	FALSE
c100318-g1 1-to-1 MTMR9 myotubularin related protein 9	3	TRUE	TRUE	TRUE
c100322-g1 hs-CHP2,EFCAB11,MYL2,MYL6	1	TRUE	FALSE	FALSE
c100323-g1 1-to-1 NFXL1 nuclear transcription factor, X-box binding like 1	1	TRUE	FALSE	FALSE
c100324-g1 (Inherit from KOG: protein kinase kinase kinase) - emapper OG	2	TRUE	FALSE	FALSE
c100324-g2	1	FALSE	TRUE	FALSE
c100324-g4	1	TRUE	TRUE	TRUE
c100325-g1 1-to-1 CDC23 cell division cycle 23	1	TRUE	FALSE	FALSE
c100326-g1 1-to-2 TMEM184A,TMEM184B transmembrane protein 184A	1	TRUE	TRUE	TRUE
c100327-g1 WWP2 (WW domain containing E3 ubiquitin protein ligase 2) - emapper OG	1	TRUE	FALSE	FALSE
c100328-g3	1	TRUE	TRUE	TRUE
c100328-g4	1	TRUE	FALSE	FALSE
c100329-g1 1-to-1 PPP1CB protein phosphatase 1 catalytic subunit beta	1	TRUE	FALSE	FALSE
c100331-g2 Hln-1, Hydra viridissima	1	TRUE	FALSE	FALSE
c100334-g1 SURF4 (Surfeit 4) - emapper OG	1	TRUE	FALSE	FALSE
c100335-g1 1-to-1 HSDL1 hydroxysteroid dehydrogenase like 1	1	TRUE	TRUE	TRUE
c100336-g2 (Inherit from euNOG: Zinc finger, C3HC4 type (RING finger)) - emapper OG	1	FALSE	TRUE	FALSE
c100337-g1 DUOX1 (Dual oxidase) - emapper OG	6	TRUE	TRUE	TRUE
c100341-g2 1-to-1 UBE2N ubiquitin conjugating enzyme E2 N	2	TRUE	FALSE	FALSE
c100343-g1 1-to-1 SYAP1 synapse associated protein 1	1	TRUE	TRUE	TRUE
c100345-g1 1-to-1 GARS glycyl-tRNA synthetase	2	TRUE	FALSE	FALSE
c100346-g1 1-to-1 PARK7 Parkinsonism associated deglycase	1	TRUE	TRUE	TRUE
c100347-g1 LRMP (lymphoid-restricted membrane) - emapper OG	1	TRUE	TRUE	TRUE
c100348-g1 SARS2 (seryl-tRNA synthetase) - emapper OG	3	TRUE	TRUE	TRUE
c100349-g1 1-to-2 WIPI1,WIPI2 WD repeat domain, phosphoinositide interacting 1	1	FALSE	TRUE	FALSE
c100352-g1 1-to-1 THUMPD1 THUMP domain containing 1	1	TRUE	TRUE	TRUE
c100353-g1 AOAH (acyloxyacyl hydrolase (neutrophil)) - emapper OG	1	TRUE	FALSE	FALSE
c100354-g1 AKAP10 (A kinase (PRKA) anchor protein 10) - emapper OG	8	TRUE	FALSE	FALSE
c100358-g1	1	FALSE	TRUE	FALSE
c100360-g1 1-to-3 PPM1H,PPM1J,PPM1M protein phosphatase, Mg2+/Mn2+ dependent 1H	1	TRUE	FALSE	FALSE
c100362-g1 BUR (GMP synthase) - emapper OG	2	TRUE	TRUE	TRUE
c100363-g1	1	TRUE	TRUE	TRUE
c100364-g1 2-to-2 EPHX3,EPHX4 epoxide hydrolase 3	1	TRUE	FALSE	FALSE
c100366-g2 (Inherit from NOG: Lysosomal-associated membrane protein) - emapper OG	1	TRUE	FALSE	FALSE
c100370-g3	1	TRUE	FALSE	FALSE
c100371-g1 1-to-2 PHKG1,PHKG2 phosphorylase kinase catalytic subunit gamma 1	1	TRUE	TRUE	TRUE
c100372-g1 1-to-1 TTC1 tetratricopeptide repeat domain 1	1	TRUE	FALSE	FALSE
c100373-g1 1-to-4 ZC3H12C,ZC3H12B,ZC3H12A,ZC3H12D zinc finger CCCH-type containing 12C	2	TRUE	TRUE	TRUE
c100376-g1 1-to-1 AGXT2 alanine--glyoxylate aminotransferase 2	1	TRUE	TRUE	TRUE
c100377-g1 4-to-1 CLCN6 chloride voltage-gated channel 6	2	TRUE	TRUE	TRUE
c100379-g1 LOC81691 (EXOnuclease) - emapper OG	1	TRUE	TRUE	TRUE
c100382-g1 2-to-2 ASMT,ASMTL acetylserotonin O-methyltransferase	1	TRUE	FALSE	FALSE
c100383-g1 1-to-1 PSMD5 proteasome 26S subunit, non-ATPase 5	2	TRUE	FALSE	FALSE
c100384-g1 (Inherit from KOG: Dehydrogenase) - emapper OG	1	TRUE	FALSE	FALSE
c100388-g1 1-to-1 TTF2 transcription termination factor 2	1	TRUE	FALSE	FALSE
c100388-g2 1-to-1 MAK16 MAK16 homolog	1	TRUE	FALSE	FALSE
c100389-g1 1-to-1 RABL6 RAB, member RAS oncogene family like 6	3	TRUE	TRUE	TRUE
c100390-g1 1-to-3 USP22,USP51,USP27X ubiquitin specific peptidase 22	2	TRUE	TRUE	TRUE
c100392-g1 1-to-1 NDUFA6 NADH:ubiquinone oxidoreductase subunit A6	1	TRUE	FALSE	FALSE
c100393-g1 1-to-1 NCOR2 nuclear receptor corepressor 2	2	FALSE	TRUE	FALSE
c100394-g1 1-to-1 CLHC1 clathrin heavy chain linker domain containing 1	1	FALSE	TRUE	FALSE
c100397-g1	1	TRUE	FALSE	FALSE
c100397-g2	1	TRUE	FALSE	FALSE
c100399-g1 1-to-1 TMF1 TATA element modulatory factor 1	2	TRUE	TRUE	TRUE
c100400-g1 hs-IDNK,AK1,AK6,CMPK1,PMVK,DTYMK,NMRK1,DCK,GUK1	1	TRUE	FALSE	FALSE
c100401-g1 1-to-1 UBXN7 UBX domain protein 7	1	TRUE	TRUE	TRUE
c100405-g1 1-to-4 AQP9,AQP7,AQP3,AQP10 aquaporin 9	1	FALSE	TRUE	FALSE
c100406-g1 1-to-3 RYR1,RYR2,RYR3 ryanodine receptor 1	2	TRUE	FALSE	FALSE
c100409-g1 1-to-1 WDR41 WD repeat domain 41	2	TRUE	TRUE	TRUE
c100410-g1 1-to-1 PRCC papillary renal cell carcinoma (translocation-associated)	1	TRUE	TRUE	TRUE
c100411-g1 KANK1 (KN motif and ankyrin repeat domains 1) - blastp	4	TRUE	TRUE	TRUE
