Automated.name	clean_annotation_name	clean_annotation_name_fixed	Plot_Module	Label_Name	module
c79162-g1 (Sugar (and other) transporter) - emapper OG	NA	NA	FALSE	FALSE	Plasma membrane transporter
c101256-g1 1-to-1 ANKFN1 ankyrin repeat and fibronectin type III domain containing 1	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c103283-g5 4-to-1 ANKIB1 ankyrin repeat and IBR domain containing 1	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100490-g1 (Inherit from euNOG: spectrin repeat containing, nuclear envelope) - emapper OG	spectrinrepeatcontaining,nuclearenvelope	spectrinrepeatcontaining,nuclearenvelope	TRUE	FALSE	Actin network assembly
c87921-g1 1-to-1 ANKRD16 ankyrin repeat domain 16	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c103620-g1 1-to-1 ANKRD26 ankyrin repeat domain 26	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c103605-g1 (Ankyrin Repeat) - emapper OG	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c99994-g1 (ankyrin repeat domain 52) - emapper OG	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100550-g2 hs-HNRNPA0,ALYREF	HNRNPA0,ALYREF	HNRNPA0,ALYREF	FALSE	FALSE	RNA processing
c100550-g3 hs-NCBP2,ALYREF,HNRNPA0	NCBP2,ALYREF,HNRNPA0	NCBP2,ALYREF,HNRNPA0	FALSE	FALSE	RNA processing
c100578-g1 1-to-1 DUSP10 dual specificity phosphatase 10	DUSP10	DUSP10	FALSE	FALSE	JNK/p38 MAPK signaling
c101239-g1 (Inherit from KOG: Ankyrin Repeat Protein) - emapper OG	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100588-g1 5-to-1 ARHGEF17 Rho guanine nucleotide exchange factor 17	ARHGEF17	ARHGEF17	FALSE	FALSE	RhoA GTPase signaling
c100588-g1 5-to-1 ARHGEF17 Rho guanine nucleotide exchange factor 17	ARHGEF17	ARHGEF17	FALSE	FALSE	Rho signaling
c100610-g3 (Inherit from opiNOG: alpha-glucosidase) - emapper OG	alpha-glucosidase	alpha-glucosidase	FALSE	FALSE	Metabolism
c103287-g1 (Ankyrin Repeat Protein) - emapper OG	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100640-g1 1-to-2 UPF3B,UPF3A UPF3B, regulator of nonsense mediated mRNA decay	UPF3B,UPF3A	UPF3B,UPF3A	FALSE	FALSE	RNA processing
c100641-g4 RAB1A (member RAS oncogene family) - emapper OG	RAB1A	RAB1A	FALSE	FALSE	Vesicular trafficking
c100652-g1 PIDD (Leucine-rich repeats and calponin homology (CH) domain containing) - emapper OG	PIDD	PIDD	FALSE	FALSE	Apoptosis
c100652-g1 PIDD (Leucine-rich repeats and calponin homology (CH) domain containing) - emapper OG	PIDD	PIDD	FALSE	FALSE	Regulation of inflammation
c100655-g1 1-to-2 TMEM131,TMEM131L transmembrane protein 131	TMEM131,TMEM131L	TMEM131,TMEM131L	TRUE	FALSE	Regulation of adhesion complexes
c100679-g1 1-to-1 LAMA2 laminin subunit alpha 2	LAMA2	LAMA2	FALSE	FALSE	Regulation of adhesion complexes
c100684-g1 1-to-2 PHKA1,PHKA2 phosphorylase kinase regulatory subunit alpha 1	PHKA1,PHKA2	PHKA1,PHKA2	FALSE	FALSE	Metabolism
c100685-g1 LHX4 (LIM homeobox) - emapper OG	LHX4	LHX4	FALSE	FALSE	Differentiation (gland cell related)
c100686-g1 1-to-3 TJP1,TJP2,TJP3 tight junction protein 1	TJP1,TJP2,TJP3	TJP1,TJP2,TJP3	TRUE	FALSE	Regulation of adhesion complexes
c100686-g1 1-to-3 TJP1,TJP2,TJP3 tight junction protein 1	TJP1,TJP2,TJP3	TJP1,TJP2,TJP3	TRUE	FALSE	Regulation of cytoskeleton at the membrane
c100686-g2 DLG5 (Inherit from NOG: discs, large homolog 5 (Drosophila)) - emapper OG	DLG5	DLG5	TRUE	TRUE	Post-synaptic scaffold
c100686-g2 DLG5 (Inherit from NOG: discs, large homolog 5 (Drosophila)) - emapper OG	DLG5	DLG5	TRUE	TRUE	Regulation of adhesion complexes
c104714-g1 1-to-1 AP3D1 adaptor related protein complex 3 delta 1 subunit	NA	NA	FALSE	FALSE	Vesicular trafficking
c103786-g2 1-to-2 APC,APC2 APC, WNT signaling pathway regulator	NA	NA	TRUE	FALSE	Regulation of adhesion complexes
c103786-g2 1-to-2 APC,APC2 APC, WNT signaling pathway regulator	NA	NA	TRUE	FALSE	Regulation of cytoskeleton at the membrane
c100717-g3 1-to-2 FAM50B,FAM50A family with sequence similarity 50 member B	FAM50B,FAM50A	FAM50B,FAM50A	FALSE	FALSE	RNA processing
c100722-g1 TCF4 (Transcription factor) - emapper OG	TCF4	TCF4	FALSE	FALSE	Differentiation (gland cell related)
c103502-g1 1-to-1 ARHGAP4 Rho GTPase activating protein 4	NA	NA	FALSE	FALSE	Cdc42 GTPase signaling
c103502-g1 1-to-1 ARHGAP4 Rho GTPase activating protein 4	NA	NA	FALSE	FALSE	Rac1 GTPase signaling
c100745-g1 1-to-1 ELP2 elongator acetyltransferase complex subunit 2	ELP2	ELP2	FALSE	FALSE	RNA processing
c104357-g2 1-to-1 ARHGAP45 Rho GTPase activating protein 45	NA	NA	FALSE	FALSE	RhoA GTPase signaling
c103750-g2 ARHGAP5 (rho GTPase activating protein) - emapper OG	NA	NA	FALSE	FALSE	Rac1 GTPase signaling
c103750-g2 ARHGAP5 (rho GTPase activating protein) - emapper OG	NA	NA	FALSE	FALSE	RhoA GTPase signaling
c100831-g1 PLEK (pleckstrin) - blastp	PLEK	PLEK	TRUE	FALSE	Regulation of adhesion complexes
c100831-g1 PLEK (pleckstrin) - blastp	PLEK	PLEK	TRUE	FALSE	Regulation of cytoskeleton at the membrane
c100838-g1 DNAJB12 (DnaJ heat shock protein family (Hsp40) member B12) - blastp	DNAJB12	DNAJB12	FALSE	FALSE	Chaperone
c102965-g1 1-to-5 ARHGEF18,AKAP13,ARHGEF2,ARHGEF28 Rho/Rac guanine nucleotide exchange factor 18	NA	NA	TRUE	FALSE	RhoA GTPase signaling
c97024-g1 ARHGEF33 (Rho guanine nucleotide exchange factor (GEF) 33) - emapper OG	NA	NA	FALSE	FALSE	RhoA GTPase signaling
c81224-g1 ARMC4 (Armadillo repeat containing 4) - emapper OG	NA	NA	FALSE	FALSE	Regulation of ciliary function
c100895-g1 1-to-1 NUP133 nucleoporin 133	NUP133	NUP133	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c101259-g2 2-to-4 ATP6V0A1,TCIRG1,ATP6V0A4,ATP6V0A2 ATPase H+ transporting V0 subunit a1	NA	NA	FALSE	FALSE	Lysosomes
c100904-g2 5-to-9 PLXNC1,PLXND1,PLXNB1,PLXNA4... plexin C1	PLXNC1,PLXND1,PLXNB1,PLXNA4...	PLXNC1,PLXND1,PLXNB1,PLXNA4...	TRUE	FALSE	Regulation of adhesion complexes
c100904-g2 5-to-9 PLXNC1,PLXND1,PLXNB1,PLXNA4... plexin C1	PLXNC1,PLXND1,PLXNB1,PLXNA4...	PLXNC1,PLXND1,PLXNB1,PLXNA4...	TRUE	FALSE	Regulation of cytoskeleton at the membrane
c100913-g1 1-to-2 ARID1A,ARID1B AT-rich interaction domain 1A	ARID1A,ARID1B	ARID1A,ARID1B	FALSE	FALSE	Stress-related transcription activity
c104057-g1 5-to-1 AXL AXL receptor tyrosine kinase	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100919-g2 1-to-2 RASA2,RASA3 RAS p21 protein activator 2	RASA2,RASA3	RASA2,RASA3	FALSE	FALSE	Ras GTPase signaling
c100922-g3 hs-MEF2D	MEF2D	MEF2D	TRUE	TRUE	Differentiation (muscle cell related)
c95390-g2 (BACK) - emapper OG	NA	NA	FALSE	FALSE	Apoptosis
c100927-g1 1-to-3 DIAPH2,DIAPH1,DIAPH3 diaphanous related formin 2	DIAPH2,DIAPH1,DIAPH3	DIAPH2,DIAPH1,DIAPH3	TRUE	TRUE	Actin dynamics
c100927-g1 1-to-3 DIAPH2,DIAPH1,DIAPH3 diaphanous related formin 2	DIAPH2,DIAPH1,DIAPH3	DIAPH2,DIAPH1,DIAPH3	TRUE	TRUE	Microtubule dynamics
c100927-g1 1-to-3 DIAPH2,DIAPH1,DIAPH3 diaphanous related formin 2	DIAPH2,DIAPH1,DIAPH3	DIAPH2,DIAPH1,DIAPH3	TRUE	TRUE	Regulation of adhesion complexes
c100931-g1 1-to-1 EXOSC10 exosome component 10	EXOSC10	EXOSC10	FALSE	FALSE	RNA processing
c100945-g1 1-to-1 PIK3R4 phosphoinositide-3-kinase regulatory subunit 4	PIK3R4	PIK3R4	TRUE	TRUE	GPCR signaling
c100945-g1 1-to-1 PIK3R4 phosphoinositide-3-kinase regulatory subunit 4	PIK3R4	PIK3R4	TRUE	TRUE	Phospholipid signaling
c100945-g1 1-to-1 PIK3R4 phosphoinositide-3-kinase regulatory subunit 4	PIK3R4	PIK3R4	TRUE	TRUE	PI3K signaling
c100945-g1 1-to-1 PIK3R4 phosphoinositide-3-kinase regulatory subunit 4	PIK3R4	PIK3R4	TRUE	TRUE	Rac1 GTPase signaling
c100945-g1 1-to-1 PIK3R4 phosphoinositide-3-kinase regulatory subunit 4	PIK3R4	PIK3R4	TRUE	TRUE	Rho signaling
c100954-g1 1-to-1 DTNBP1 dystrobrevin binding protein 1	DTNBP1	DTNBP1	TRUE	FALSE	Regulation of adhesion complexes
c15492-g1 BLP1, Candida albicans (strain SC5314 / ATCC MYA-2..	NA	NA	FALSE	FALSE	Phospholipid signaling
c100975-g1 (gelsolin) - emapper OG	gelsolin	gelsolin	TRUE	FALSE	Actin dynamics
c100977-g1 1-to-2 CDK13,CDK12 cyclin dependent kinase 13	CDK13,CDK12	CDK13,CDK12	FALSE	FALSE	Regulation of cell cycle
c100980-g1 1-to-1 BRD7 bromodomain containing 7	BRD7	BRD7	FALSE	FALSE	Stress-related transcription activity
c100984-g1 1-to-1 SNRK SNF related kinase	SNRK	SNRK	FALSE	FALSE	Metabolism
c100984-g1 1-to-1 SNRK SNF related kinase	SNRK	SNRK	FALSE	FALSE	Regulation of inflammation
c101011-g1 1-to-1 SUPT5H SPT5 homolog, DSIF elongation factor subunit	SUPT5H	SUPT5H	FALSE	FALSE	RNA processing
c101021-g1 RAPGEF2 (Rap guanine nucleotide exchange factor 2) - blastp	RAPGEF2	RAPGEF2	FALSE	FALSE	Regulation of adhesion complexes
c100966-g1 1-to-1	NA	NA	FALSE	FALSE	RNA processing
c101050-g1 1-to-3 SMAD9,SMAD1,SMAD5 SMAD family member 9	SMAD9,SMAD1,SMAD5	SMAD9,SMAD1,SMAD5	TRUE	TRUE	Differentiation (muscle cell related)
c103299-g1 1-to-1	NA	NA	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c87499-g1 1-to-1 C12orf4 chromosome 12 open reading frame 4	NA	NA	FALSE	FALSE	Vesicular trafficking
c101098-g1 1-to-1 BAG6 BCL2 associated athanogene 6	BAG6	BAG6	FALSE	FALSE	Apoptosis
c101107-g1 1-to-2 MICU3,MICU2 mitochondrial calcium uptake family member 3	MICU3,MICU2	MICU3,MICU2	TRUE	FALSE	Regulation of calcium signaling
c101111-g1 1-to-1 MAP2K7 mitogen-activated protein kinase kinase 7	MAP2K7	MAP2K7	FALSE	FALSE	JNK/p38 MAPK signaling
c101119-g1 1-to-1 ZFPL1 zinc finger protein like 1	ZFPL1	ZFPL1	FALSE	FALSE	Vesicular trafficking
c102833-g1 1-to-1 C16orf72 chromosome 16 open reading frame 72	NA	NA	FALSE	FALSE	Apoptosis
c101130-g1 1-to-3 MAPK10,MAPK8,MAPK9 mitogen-activated protein kinase 10	MAPK10,MAPK8,MAPK9	MAPK10,MAPK8,MAPK9	FALSE	FALSE	JNK/p38 MAPK signaling
c101153-g1 1-to-3 ACAP1,ACAP2,ACAP3 ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1,ACAP2,ACAP3	ACAP1,ACAP2,ACAP3	FALSE	FALSE	Vesicular trafficking
c101170-g1 1-to-2 FRYL,FRY FRY like transcription coactivator	FRYL,FRY	FRYL,FRY	FALSE	FALSE	Microtubule dynamics
c101172-g1 1-to-2 DYNC1LI2,DYNC1LI1 dynein cytoplasmic 1 light intermediate chain 2	DYNC1LI2,DYNC1LI1	DYNC1LI2,DYNC1LI1	FALSE	FALSE	Vesicular trafficking
c101177-g1 1-to-3 CNKSR1,CNKSR2,CNKSR3 connector enhancer of kinase suppressor of Ras 1	CNKSR1,CNKSR2,CNKSR3	CNKSR1,CNKSR2,CNKSR3	FALSE	FALSE	Ras GTPase signaling
c101194-g1 hs-INSYN2B,INSYN2A,C19orf44,TAB2,CCSER2,TSC22D4,C3orf..	INSYN2B,INSYN2A,C19orf44,TAB2,CCSER2,TSC22D4,C3orf..	INSYN2B,INSYN2A,C19orf44,TAB2,CCSER2,TSC22D4,C3orf..	FALSE	FALSE	Regulation of inflammation
c101194-g1 hs-INSYN2B,INSYN2A,C19orf44,TAB2,CCSER2,TSC22D4,C3orf..	INSYN2B,INSYN2A,C19orf44,TAB2,CCSER2,TSC22D4,C3orf..	INSYN2B,INSYN2A,C19orf44,TAB2,CCSER2,TSC22D4,C3orf..	FALSE	FALSE	Vesicular trafficking
c101207-g1 1-to-1 RICTOR RPTOR independent companion of MTOR complex 2	RICTOR	RICTOR	TRUE	TRUE	Lysosomes
c101207-g1 1-to-1 RICTOR RPTOR independent companion of MTOR complex 2	RICTOR	RICTOR	TRUE	TRUE	MTORC2 signaling
c101215-g1 1-to-2 ESPNL,ESPN espin like	ESPNL,ESPN	ESPNL,ESPN	TRUE	TRUE	Actin dynamics
c101215-g1 1-to-2 ESPNL,ESPN espin like	ESPNL,ESPN	ESPNL,ESPN	TRUE	TRUE	Actomyosin contractility
c101215-g1 1-to-2 ESPNL,ESPN espin like	ESPNL,ESPN	ESPNL,ESPN	TRUE	TRUE	Regulation of cytoskeleton at the membrane
c101218-g1 1-to-1 PPIL4 peptidylprolyl isomerase like 4	PPIL4	PPIL4	FALSE	FALSE	Chaperone
c101234-g1 1-to-1 PAXBP1 PAX3 and PAX7 binding protein 1	PAXBP1	PAXBP1	TRUE	FALSE	Differentiation (muscle cell related)
c94396-g1 1-to-1 C20orf27 chromosome 20 open reading frame 27	NA	NA	FALSE	FALSE	Regulation of inflammation
c94396-g1 1-to-1 C20orf27 chromosome 20 open reading frame 27	NA	NA	FALSE	FALSE	Stress-related transcription activity
c101240-g2 1-to-4 ERBB3,ERBB2,EGFR,ERBB4 erb-b2 receptor tyrosine kinase 3	ERBB3,ERBB2,EGFR,ERBB4	ERBB3,ERBB2,EGFR,ERBB4	TRUE	FALSE	Regulation of adhesion complexes
c101241-g1 1-to-2 DGKI,DGKZ diacylglycerol kinase iota	DGKI,DGKZ	DGKI,DGKZ	TRUE	FALSE	Phospholipid signaling
c97174-g1 1-to-1 C2CD5 C2 calcium dependent domain containing 5	NA	NA	FALSE	FALSE	Regulation of calcium signaling
c97174-g1 1-to-1 C2CD5 C2 calcium dependent domain containing 5	NA	NA	FALSE	FALSE	Vesicular trafficking
c101246-g1 1-to-3 PITPNM3,PITPNM2,PITPNM1 PITPNM family member 3	PITPNM3,PITPNM2,PITPNM1	PITPNM3,PITPNM2,PITPNM1	TRUE	FALSE	Phospholipid signaling
c101252-g1 1-to-1 CACHD1 cache domain containing 1	CACHD1	CACHD1	FALSE	FALSE	Regulation of calcium signaling
c101253-g1 1-to-2 EVI5,EVI5L ecotropic viral integration site 5	EVI5,EVI5L	EVI5,EVI5L	FALSE	FALSE	Vesicular trafficking
c101253-g2 1-to-2 ADARB1,ADARB2 adenosine deaminase, RNA specific B1	ADARB1,ADARB2	ADARB1,ADARB2	FALSE	FALSE	Metabolism
c92025-g1 1-to-1 C4orf47 chromosome 4 open reading frame 47	NA	NA	FALSE	FALSE	Stress-related transcription activity
c99236-g1 (Catenin (Cadherin-associated protein)) - emapper OG	NA	NA	FALSE	FALSE	Regulation of adhesion complexes
c101265-g1 NUP153 (nucleoporin 153kDa) - emapper OG	NUP153	NUP153	FALSE	FALSE	RNA processing
c101265-g1 NUP153 (nucleoporin 153kDa) - emapper OG	NUP153	NUP153	FALSE	FALSE	Vesicular trafficking
c101266-g1 PLEKHA1 (pleckstrin homology domain containing, family A (phosphoinositide binding specific) member	PLEKHA1	PLEKHA1	TRUE	FALSE	Regulation of adhesion complexes
c101266-g1 PLEKHA1 (pleckstrin homology domain containing, family A (phosphoinositide binding specific) member	PLEKHA1	PLEKHA1	TRUE	FALSE	Regulation of cytoskeleton at the membrane
c102612-g2 SMTN (smoothelin-like 2) - emapper OG	NA	NA	FALSE	FALSE	Actomyosin contractility
c102612-g2 SMTN (smoothelin-like 2) - emapper OG	NA	NA	FALSE	FALSE	Regulation of calcium signaling
c101327-g2 FOXO3 (forkhead box) - emapper OG	FOXO3	FOXO3	TRUE	FALSE	Stress-related transcription activity
c105055-g1 CAM (calmodulin) - emapper OG	NA	NA	FALSE	FALSE	Regulation of calcium signaling
c101340-g1 1-to-2 RALGPS1,RALGPS2 Ral GEF with PH domain and SH3 binding motif 1	RALGPS1,RALGPS2	RALGPS1,RALGPS2	FALSE	FALSE	Vesicular trafficking
c104280-g3 CAMK2G (calcium calmodulin-dependent protein kinase II) - emapper OG	NA	NA	FALSE	FALSE	Regulation of calcium signaling
c101346-g2 1-to-1 DDX4 DEAD-box helicase 4	DDX4	DDX4	FALSE	FALSE	RNA processing
c104065-g2 4-to-2 CASP10,CASP8 caspase 10	NA	NA	FALSE	FALSE	Apoptosis
c101356-g1 1-to-4 HERC6,HERC5,HERC4,HERC3 HECT and RLD domain containing E3 ubiquitin protein ligase family me	HERC6,HERC5,HERC4,HERC3	HERC6,HERC5,HERC4,HERC3	FALSE	FALSE	Regulation of inflammation
c101359-g1 CDC123 (cell division cycle 123) - blastp	CDC123	CDC123	FALSE	FALSE	Chaperone
c101359-g1 CDC123 (cell division cycle 123) - blastp	CDC123	CDC123	FALSE	FALSE	Regulation of cell cycle
c101369-g1 4-to-2 UNC13D,BAIAP3 unc-13 homolog D	UNC13D,BAIAP3	UNC13D,BAIAP3	TRUE	TRUE	Exocytosis
c101369-g1 4-to-2 UNC13D,BAIAP3 unc-13 homolog D	UNC13D,BAIAP3	UNC13D,BAIAP3	TRUE	TRUE	Regulation of calcium signaling
c101369-g1 4-to-2 UNC13D,BAIAP3 unc-13 homolog D	UNC13D,BAIAP3	UNC13D,BAIAP3	TRUE	TRUE	Vesicular trafficking
c101375-g1 1-to-3 PDE1B,PDE1C,PDE1A phosphodiesterase 1B	PDE1B,PDE1C,PDE1A	PDE1B,PDE1C,PDE1A	TRUE	FALSE	Metabolism
c101375-g1 1-to-3 PDE1B,PDE1C,PDE1A phosphodiesterase 1B	PDE1B,PDE1C,PDE1A	PDE1B,PDE1C,PDE1A	TRUE	FALSE	NO signaling
c101375-g1 1-to-3 PDE1B,PDE1C,PDE1A phosphodiesterase 1B	PDE1B,PDE1C,PDE1A	PDE1B,PDE1C,PDE1A	TRUE	FALSE	Regulation of calcium signaling
